common_name,scientific_name,kingdom,phylum,class,order,family,genus,habitat,diet,lifespan_wild,lifespan_captivity,weight_kg,conservation_status,population_trend,geographic_range,interesting_fact,threats,description,lipaspan_captivity,lipaspan_wild
Chinchilla,Chinchilla lanigera,Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,"Rocky Andean slopes, semi-arid regions","Herbivore — grass, seeds, plants, bark",8–10 years,15–20 years,0.4–0.8 kg,Endangered,Decreasing,"Andes mountains of South America (Chile, Bolivia, Peru)",Chinchillas have the softest fur of any land animal — with up to 60 hairs per follicle (humans have 1–4). They clean themselves by rolling in volcanic dust baths.,"Fur hunting, habitat destruction","The chinchilla is a small rodent native to the Andes. It has very soft, dense silver-grey fur and large ears. Wild populations are critically reduced due to fur trade hunting.",,
Cinnabar Moth,Tyria jacobaeae,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Tyria,"Grasslands, coastal dunes, roadsides, waste ground with ragwort",Herbivore (larvae) — ragwort (Senecio); Adults — little or nothing,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Decreasing,"Europe, introduced to Australia, New Zealand, and North America for ragwort control","Cinnabar moth caterpillars — boldly striped in orange and black — sequester the toxic pyrrolizidine alkaloids from ragwort, making themselves poisonous to birds. The bright warning colours of both the caterpillar and moth advertise this toxicity.","Loss of rough grassland, ragwort removal",The cinnabar moth has strikingly contrasting red and black wings — the forewing is dark grey-black with two crimson spots and a red streak; the hindwing is brilliant red bordered in black. Both adults and larvae are unpalatable to predators.,,
Clearwing Moth,Hemaris thysbe,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,"Gardens, meadows, forest edges with flowers","Herbivore (larvae) — viburnum, snowberry; Adults — nectar (like a hummingbird)",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,North America,"Clearwing moths are remarkable hummingbird mimics — they hover in front of flowers, beat their wings at 30–70 times per second (producing a hum), and even resemble hummingbirds in size and flight style. Most people mistake them for birds on first sighting.",Habitat loss,"The hummingbird clearwing is a hawk moth with clear (transparent) windows in its wings that lose their scales on its first flight, olive-green and burgundy colouring on its body, and a rapid hover flight while feeding on deep flowers.",,
Cleopatra,Gonepteryx cleopatra,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,"Woodland edges, scrubland, garrigue in Mediterranean regions",Herbivore (larvae) — buckthorn; Adults — nectar from flowers,Up to 1 year (longest-lived adult butterfly in Europe),N/A,<0.001 kg,Least Concern,Stable,"Mediterranean Europe, Canary Islands, North Africa","The Cleopatra butterfly can live for up to 12 months as an adult — one of the longest adult lifespans of any European butterfly. It overwinters as an adult by entering torpor in vegetation, appearing dead until spring warmth revives it.","Habitat loss, reduced buckthorn availability","The Cleopatra resembles a brilliant version of the brimstone butterfly. Males have vivid orange-yellow wings with a deep orange central flush; females are pale greenish-white. At rest with wings closed, it is perfectly camouflaged as a leaf.",,
Clodius Parnassian,Parnassius clodius,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,"Mountain meadows, forest openings, alpine zones",Herbivore (larvae) — bleeding heart (Dicentra); Adults — nectar from alpine flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Western North America (Pacific coast mountains),"Like other Parnassius species, after mating the male glues a waxy sphragis (mating plug) to the female's abdomen that prevents further mating, ensuring paternity. The plug is so distinctive that entomologists can identify the male species by the plug's shape.",Climate change reducing alpine habitat,"The Clodius parnassian is a large, white butterfly with semi-transparent wings marked with two red spots and two black spots. Its wings have a satiny, powdery texture. It is a high-altitude specialist of western mountain ranges.",,
Clouded Leopard,Neofelis nebulosa,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Tropical and subtropical forests,"Carnivore — deer, pigs, monkeys, birds, porcupines",11–17 years,Up to 20 years,11–23 kg,Vulnerable,Decreasing,Himalayan foothills through mainland Southeast Asia to China,"The clouded leopard has the longest canine teeth relative to body size of any living cat, earning it the nickname 'modern-day sabre-toothed cat'.","Deforestation, poaching for fur and bones","The clouded leopard is a medium-sized wild cat with a distinctive cloud-patterned coat — large dark blotches with lighter centres on a tawny background. It is an excellent climber, able to descend trees headfirst.",,
Clouded Sulphur,Colias philodice,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,"Open fields, meadows, clover fields, roadsides","Herbivore (larvae) — clover, alfalfa, vetch; Adults — nectar",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,North America,"Clouded sulphur butterflies can see ultraviolet light, which reveals hidden patterns on the wings of potential mates invisible to humans. This UV patterning plays an important role in mate selection and species recognition.",Minimal — common; pesticide use on host plant fields,The clouded sulphur is a medium-sized butterfly. Males are bright yellow with black wing borders; females are yellow or white (a common white form). The underside shows two silver-centred spots. It is one of the most common North American butterflies.,,
Comet Moth,Argema mittrei,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Argema,Rainforests of Madagascar,Herbivore (larvae) — wild mango trees; Adults — cannot eat,4–5 days (adult),N/A,<0.001 kg,Near Threatened,Unknown,Madagascar,The Madagascar comet moth has some of the longest hindwing tails of any moth — up to 20 cm. These tails are thought to deflect bat echolocation away from the body and may also improve aerodynamic control during flight.,Deforestation in Madagascar,"The comet moth is considered one of the world's most spectacular moths, with a wingspan of up to 18 cm and brilliant yellow-orange wings decorated with four eyespots and dramatically elongated hindwing tails.",,
Common Banded Awl,Hasora chromus,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hasora,"Forest edges, gardens, scrublands",Herbivore (larvae) — Derris and other legumes; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"South and Southeast Asia, Australia","Awl skippers are distinguished from true skippers by their larger size and rapid, strong flight — like an awl (a pointed tool) piercing the air. The common banded awl is one of the fastest-flying butterflies in its range.",Habitat loss,"The common banded awl is a large skipper butterfly, dark brown above with a curved pale band across the forewing. It has a rapid, powerful flight and typically rests with wings held flat open.",,
Common Kingfisher,Alcedo atthis,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,"Rivers, streams, canals, ponds, estuaries","Carnivore — small fish, aquatic invertebrates",2 years,Up to 7 years,0.034–0.046 kg,Least Concern,Stable,"Europe, Asia, North Africa",The kingfisher's bill is adapted to enter water with minimal splash — at a specific angle that avoids refraction. The Japanese Shinkansen bullet train was redesigned after the kingfisher's beak to reduce sonic booms in tunnels.,"Water pollution, habitat disturbance, cold winters reducing fish access","The common kingfisher is a small, stocky bird with dazzling electric-blue upperparts, orange-red underparts, and a long, dagger-like bill. Despite its vivid colours it is surprisingly difficult to spot, perching motionlessly above water.",,
Common Myna,Acridotheres tristis,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,"Open woodland, cultivated areas, gardens, urban areas","Omnivore — insects, fruit, nectar, scraps",4 years,Up to 25 years,0.082–0.143 kg,Least Concern,Increasing,South and Southeast Asia; introduced worldwide,"The common myna is listed among the world's 100 worst invasive alien species. It is an aggressive competitor for nest hollows and has driven native birds out of large areas in Australia, South Africa, and many island nations.",Not threatened — invasive; threatens native birds in introduced regions,"The common myna is a dark brown bird with a black hooded head, yellow eye patch, bill, and legs, and distinctive white wing patches visible in flight. It is noisy, bold, and highly adaptable, thriving in urban environments.",,
Common Rosefinch,Carpodacus erythrinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus,"Open forests, scrublands, gardens, farmland with hedges","Herbivore/Omnivore — seeds, buds, berries, insects",5–8 years,N/A,0.02–0.034 kg,Least Concern,Decreasing,"Europe, Asia",Male common rosefinches are among the most variable songbirds — they are born looking like females (brown) and only develop their red plumage after their first year. The intensity of red signals health and foraging ability.,Habitat changes affecting breeding and foraging sites,"The common rosefinch is a small finch. Adult males have a distinctive crimson-red head, breast, and rump contrasting with a brownish back and wings. Females are streaked brown throughout, making them inconspicuous.",,
Common Tailorbird,Orthotomus sutorius,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Orthotomus,"Scrublands, gardens, forest edges, urban parks","Insectivore — insects, spiders, small invertebrates",3–5 years,N/A,0.006–0.009 kg,Least Concern,Stable,South and Southeast Asia,The tailorbird sews its nest by piercing leaf edges with its bill and threading plant fibres or spider silk through the holes to stitch two or more large leaves into a cone shape — one of the most sophisticated nest-building strategies.,Habitat loss,"The common tailorbird is a tiny, active warbler-type bird with bright rufous (reddish-brown) cap, olive-green upperparts, and white underparts. Males have elongated central tail feathers in breeding season.",,
Common Wood Nymph,Cercyonis pegala,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Cercyonis,"Open woodlands, grasslands, meadows, prairies","Herbivore (larvae) — grasses; Adults — rotting fruit, nectar, sap",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,North America,"Common wood nymphs vary dramatically in appearance across their range — northern populations have large eyespots and yellow patches, while southern populations may have smaller eyespots or none at all. This geographic variation led early entomologists to describe multiple species that were actually one.","Habitat loss, grassland fragmentation","The common wood nymph is a medium-large brown butterfly with two prominent yellow-ringed black eyespots on the forewing. Its flight is bouncing and erratic, and it often rests on tree trunks where it blends remarkably well.",,
Copper Tail,Rapala varuna,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Rapala,"Forests, forest edges, gardens",Herbivore (larvae) — various flowering plants; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,South and Southeast Asia,"Hairstreak butterflies like the copper tail have false 'head' markings on their hindwings — eyespots and hair-like tails that mimic antennae. They rotate their hindwings when resting to animate the fake head, directing predator attacks away from their real head.",Habitat loss,The copper tail is a small butterfly with coppery-orange to brown upperside wings and a distinctive orange and white tailed hindwing underside with metallic markings. The false head markings on the hindwing are characteristic of the hairstreak group.,,
Coppersmith Barbet,Psilopogon haemacephalus,Animalia,Chordata,Aves,Piciformes,Megalaimidae,Psilopogon,"Forests, gardens, orchards, parks","Frugivore/Omnivore — fruit, berries, insects",6–8 years,N/A,0.03–0.035 kg,Least Concern,Stable,South and Southeast Asia,The coppersmith barbet gets its name from its call — a repetitive 'tuk tuk tuk' sound resembling the striking of a coppersmith's hammer on metal. It can call thousands of times in succession without apparent rest.,"Habitat loss, deforestation","The coppersmith barbet is a plump, colourful bird with a crimson forehead and throat patch, yellow eye patches and throat border, and green-streaked underparts. It is commonly found in gardens across South Asia.",,
Cow,Bos taurus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,"Grasslands, farmlands (domesticated)","Herbivore — grasses, hay, grain",15–20 years,20 years,400–700 kg,Not Evaluated,Stable,Worldwide (domesticated),"Cows have almost 360-degree panoramic vision due to the placement of their eyes, but have poor depth perception and difficulty seeing directly ahead.",None — domesticated,"The domestic cow is a large domesticated bovine. It is one of the most common large animals on Earth, raised globally for milk, meat, and labour. Cows are social animals that form strong bonds within herds.",,
Crab,Cancer pagurus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,"Intertidal zones, sublittoral rock, sandy and muddy seabeds","Omnivore — molluscs, worms, crustaceans, carrion",25–100 years,Varies,Up to 3 kg,Least Concern,Stable,"Northeast Atlantic, from Norway to West Africa","Crabs are capable of regenerating lost limbs — if a claw is torn off by a predator, it will regrow at the next moult. The new limb starts small and grows to full size over several moulting cycles.","Overfishing, habitat loss, pollution","The edible crab has a broad, reddish-brown shell (carapace) with a characteristic 'pie-crust' edge. It has large, powerful claws — the right is typically larger than the left. It is one of the most commercially important crabs in Europe.",,
Crecent,Phyciodes tharos,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes,"Open fields, meadows, roadsides, gardens with asters",Herbivore (larvae) — asters; Adults — nectar from small flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,North America,Pearl crescent butterflies show strong sexual dimorphism in their behaviour — males perch on low vegetation and aggressively chase any passing butterfly (or even other insects) that enters their territory. Females are more secretive.,Habitat loss,The pearl crescent is a small orange and black butterfly. The underside of the hindwing has a pale crescent-shaped marking on its outer edge — giving the butterfly its common name. It is a common and familiar North American butterfly.,,
Crimson Patch,Chlosyne janais,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Chlosyne,"Subtropical forests, forest edges, gardens",Herbivore (larvae) — Odontonema and related plants; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Texas south through Central America to Peru,"Crimson patch butterfly females lay their eggs in large clusters on the underside of leaves, and the larvae live gregariously in masses, feeding communally before dispersing as they mature. This communal defence deters many predators.",Habitat loss,"The crimson patch is a striking black butterfly with a large, brilliant red-orange patch across the centre of each forewing and a yellow-spotted black hindwing. Its vivid pattern serves as aposematic warning.",,
Crocodile,Crocodylus niloticus,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,"Rivers, lakes, estuaries, marshes","Carnivore — fish, mammals, birds, reptiles",45–80 years,Up to 100 years,225–750 kg,Least Concern,Stable,Sub-Saharan Africa,"Crocodiles have one of the strongest bite forces on Earth — up to 22,000 Newtons — yet the muscles that open the jaw are so weak that a rubber band can hold them shut.","Hunting, habitat loss","The Nile crocodile is the largest freshwater predator in Africa. It has a long, powerful tail, four short legs, armoured skin with bony scutes, and jaws lined with conical teeth for gripping prey.",,
Danaid Eggfly,Hypolimnas misippus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hypolimnas,"Open areas, gardens, coastal scrub, forest margins","Herbivore (larvae) — purslane, Portulaca; Adults — nectar, rotting fruit",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Africa, South and Southeast Asia, Pacific islands","The danaid eggfly is a remarkable case of sexual mimicry — females mimic the toxic plain tiger butterfly (Danaus chrysippus) and receive protection from predators without being toxic themselves. Males look completely different, with black wings and white spots.",Habitat loss,"The danaid eggfly shows extreme sexual dimorphism. Males are glossy black with large white spots ringed in iridescent purple. Females are orange and black, closely mimicking the unpalatable plain tiger butterfly.",,
Deer,Cervidae spp.,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Various,"Forests, grasslands, mountains, wetlands","Herbivore — grasses, leaves, bark, berries",6–14 years,Up to 20 years,9–300 kg (varies by species),Least Concern,Stable,Worldwide except Australia and Antarctica,"Male deer (stags or bucks) grow and shed antlers annually — the fastest growing tissue in the animal kingdom, growing up to 2.5 cm per day.","Hunting, habitat loss, vehicle collisions","Deer are ruminant mammals in the family Cervidae. Most male deer grow antlers. They are characterised by their slender legs, short tails, and large eyes. Over 40 species exist across diverse habitats worldwide.",,
Dog,Canis lupus familiaris,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,All environments (domesticated),"Omnivore — meat, plant matter",1–5 years (feral),10–13 years,1–90 kg (varies by breed),Not Evaluated,Stable,Worldwide,"Dogs were the first animals to be domesticated by humans, approximately 15,000–40,000 years ago from grey wolves. They have co-evolved with humans and can read human social cues.",None — domesticated,"The domestic dog is a domesticated descendant of the wolf. With over 400 recognized breeds, dogs vary enormously in size, shape, and coat. They are highly social pack animals that have formed close bonds with humans.",,
Dolphin,Delphinus delphis,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,"Open oceans, coastal waters, estuaries","Carnivore — fish, squid, crustaceans",25–30 years,Up to 40 years,70–110 kg,Least Concern,Decreasing,Worldwide in tropical and temperate oceans,Dolphins sleep with one eye open and one brain hemisphere active at a time — a state called unihemispheric slow-wave sleep — allowing them to keep breathing consciously.,"Bycatch, pollution, habitat degradation","The common dolphin is a small cetacean with a sleek, streamlined body, distinctive hourglass colouring on its sides, and a long, narrow beak. It is highly social, living in groups (superpods) of thousands.",,
Donkey,Equus africanus asinus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Arid and semi-arid areas (domesticated),"Herbivore — grasses, hay, shrubs",25–30 years,Up to 50 years,80–480 kg,Not Evaluated,Stable,Worldwide (domesticated),"Donkeys have an excellent memory and can recognise other donkeys they met up to 25 years earlier. They are also known to be more cautious than horses, refusing to put themselves in danger.",None — domesticated,"The domestic donkey is a member of the horse family. It has long ears, a short mane, and a thick hide resistant to harsh weather. Used for centuries as a working animal, it is renowned for its stubbornness and endurance.",,
Dragonfly,Libellula depressa,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,"Ponds, lakes, marshes, rivers, streams","Carnivore — mosquitoes, flies, gnats, other insects",1–4 years (nymph); 2–4 weeks (adult),N/A,<0.001 kg,Least Concern,Decreasing,"Europe, Western Asia","Dragonflies are the most effective hunters in the animal kingdom — they catch up to 95% of their prey attempts. They track individual prey in a swarm, calculate the prey's trajectory, and intercept it — rather than chasing it — using a unique predictive flight strategy.","Wetland loss, water pollution, pesticide use","The broad-bodied chaser is a stocky dragonfly. Males have a powder-blue abdomen; females and immatures have a yellow-sided brown abdomen. It is an aggressive, territorial hunter typically seen perching beside still water.",,
Duck,Anas platyrhynchos,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,"Lakes, ponds, rivers, wetlands, parks","Omnivore — aquatic plants, seeds, insects, molluscs, fish",5–10 years,Up to 20 years,0.72–1.6 kg,Least Concern,Stable,"Nearly worldwide (introduced to Australia, New Zealand, South America)","A duck's quack doesn't echo — this is actually a myth. Scientists have recorded and analysed duck quacks and confirmed they do produce echoes, but the sound fades at both ends, making it difficult to hear in natural settings.","Habitat loss, hunting, lead poisoning from shot","The mallard is the most familiar and widespread dabbling duck. Males have an iridescent green head, yellow bill, chestnut chest, and a distinctive curled tail feather; females are mottled brown with orange bills.",,
Eagle,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,"Mountains, forests, open grasslands","Carnivore — rabbits, hares, squirrels, fish, birds",30 years,Up to 50 years,2.5–6.5 kg,Least Concern,Stable,"North America, Europe, Asia, North Africa","The golden eagle can dive at speeds exceeding 300 km/h when hunting, and its eyesight is four to eight times more powerful than a human's.","Habitat loss, electrocution from power lines, poisoning",The golden eagle is one of the most widely distributed eagles on Earth. It has dark brown plumage with a golden-brown crown and nape. It is a powerful predator known for its agility and speed in flight.,,
Eastern Coma,Polygonia comma,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,"Moist woodlands, forest edges, streamsides","Herbivore (larvae) — nettles, elm, hops; Adults — sap, rotting fruit, nectar",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Eastern North America,"The comma and related angle-wing butterflies (Polygonia) have ragged, irregular wing edges that perfectly mimic dead leaves — complete with apparent holes and bite marks. The underside of the wing is cryptically leaf-brown; the tiny silver 'comma' on the hindwing is the only distinguishing mark.",Habitat loss,"The eastern comma is a medium butterfly with orange upperwings marked with black spots and angular, deeply scalloped wing edges. The underside is cryptic brown with a small silver comma-shaped mark on the hindwing.",,
Eastern Dapple White,Euchloe ausonia,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Euchloe,"Meadows, scrubland, rocky slopes with crucifers","Herbivore (larvae) — wild mustard, garlic mustard; Adults — nectar",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Europe, Middle East, Central Asia","Marbled whites and dapple whites have intricate green mosaic patterns on their wing undersides that are completely invisible from above. When they close their wings at rest in grass or flowers, they become virtually invisible.",Habitat loss,"The eastern dappled white is a small butterfly with white wings above, marked with black spots on the forewing tip. The hindwing underside is beautifully marbled with green and white, providing perfect camouflage among vegetation.",,
Eastern Pine Elfin,Incisalia niphon,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Incisalia,"Pine woodlands, forest edges",Herbivore (larvae) — young pine needles; Adults — blueberry and other spring flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Decreasing,Eastern North America,"Eastern pine elfin caterpillars feed on young pine needles and are camouflaged to match pine needles exactly in colour, texture, and orientation — lying along needles rather than across them. Even their droppings resemble pine debris.","Loss of young pine stands, fire suppression","The eastern pine elfin is a small butterfly with irregular brownish-grey wings patterned with darker bands and scalloped edges. The patterning is intricate, providing camouflage against pine bark. It flies only briefly in early spring.",,
Elbowed Pierrot,Caleta elna,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Caleta,"Open forests, forest edges, gardens, scrubland",Herbivore (larvae) — various plants; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,South and Southeast Asia,"Pierrots are named after the white-faced Commedia dell'arte character Pierrot, because their black-on-white wing pattern resembles his costume. They are known for resting with wings flat open — unlike most hairstreak relatives.",Habitat loss,"The elbowed pierrot is a small butterfly, white above with a black costal border and distinctive bent (elbowed) black marking at the forewing apex. The underside has bold black spots on a white background.",,
Elephant,Loxodonta africana,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,"Savannas, forests, deserts, wetlands","Herbivore — grass, fruit, bark, roots",60–70 years,Up to 80 years,"3,000–6,000 kg",Vulnerable,Decreasing,Sub-Saharan Africa,"Elephants are the only animals that cannot jump. They also grieve their dead — examining bones and tusks of deceased herd members, sometimes standing silently for hours.","Ivory poaching, habitat loss, human conflict","The African bush elephant is the largest living land animal. It has a long prehensile trunk used for breathing, smelling, drinking, and grasping, plus large fan-shaped ears that help regulate body temperature.",,
Emperor Gum Moth,Opodiphthera eucalypti,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Opodiphthera,Eucalyptus forests and woodlands of Australia,"Herbivore (larvae) — eucalyptus, pepper trees; Adults — cannot eat",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Australia,"The emperor gum moth is one of Australia's largest and most spectacular moths. Like all saturniid moths, adults have vestigial mouthparts and cannot eat. They survive their adult life entirely on fat reserves accumulated as caterpillars and typically live only 1–2 weeks.","Habitat loss, light pollution","The emperor gum moth is a large moth with a wingspan up to 15 cm. Its wings are red-brown with a distinctive eyespot on each wing, a white-edged pink and black marginal band, and a pale, pinkish-white forewing costal region.",,
Falcon,Falco peregrinus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,"Open country, tundra, cliffs, cities","Carnivore — birds, bats, small mammals",13 years,Up to 25 years,0.3–1.5 kg,Least Concern,Increasing,Worldwide except Antarctica,"The peregrine falcon is the fastest animal on Earth, reaching speeds exceeding 390 km/h in a hunting dive (stoop) — faster than a Formula 1 racing car.","Pesticide use (historically), habitat disturbance","The peregrine falcon has a blue-grey back, barred white underparts, and a distinctive black hood. It is a master aerial predator, striking prey mid-air after breathtaking high-speed dives.",,
Ferret,Mustela putorius furo,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,"Domesticated; grasslands, forests in wild","Carnivore — rodents, rabbits, birds",1–3 years (escaped),7–10 years,0.7–2 kg,Not Evaluated,Stable,Worldwide (domesticated),Ferrets can sleep so deeply that they appear dead and cannot be woken — a state known as 'ferret dead sleep'. They also communicate happiness by performing a bouncy dance called the 'weasel war dance'.,None — domesticated,"The domestic ferret is a small, elongated carnivore with a long tail, short legs, and characteristic musk glands. Despite their small size, ferrets are curious, playful, and highly energetic.",,
Fish,Actinopterygii spp.,Animalia,Chordata,Actinopterygii,Various,Various,Various,"Oceans, rivers, lakes, estuaries","Varies — carnivore, herbivore, omnivore",1–150 years (varies by species),Varies,"<0.001–2,000 kg (varies)",Least Concern,Varies by species,Worldwide aquatic environments,"Fish have been on Earth for over 500 million years — predating the dinosaurs by 300 million years. Some species, like the Greenland shark, can live for over 400 years.","Overfishing, pollution, climate change, habitat destruction","Fish are aquatic vertebrates with gills, fins, and (usually) scales. They are the most species-rich group of vertebrates with over 33,000 known species occupying virtually every aquatic environment on Earth.",,
Flamingo,Phoenicopterus roseus,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,"Shallow saline lakes, lagoons, mangroves, tidal flats","Filter feeder — algae, brine shrimp, insects",20–30 years,Up to 50 years,2–4 kg,Least Concern,Stable,"Africa, southern Europe, Middle East, South Asia",Flamingos get their pink colour from carotenoid pigments in their food. A flamingo fed a white diet would gradually become white. Flamingos in zoos are fed specially supplemented feed.,"Habitat loss, water pollution, human disturbance","The greater flamingo is the largest and most widespread flamingo species. It has pale pink plumage, a distinctive downward-bent bill, and extraordinarily long legs. They often stand on one leg to conserve body heat.",,
Forest Wagtail,Dendronanthus indicus,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Dendronanthus,"Deciduous and evergreen forests, forest edges","Insectivore — insects, invertebrates",3–5 years,N/A,0.015–0.020 kg,Least Concern,Stable,"East and South Asia, wintering in Southeast Asia and India","Unlike all other wagtails that wag their tail up and down, the forest wagtail wags its tail from side to side — an unusual behaviour that is unique within its family and may help flush insects from the forest floor.",Deforestation,"The forest wagtail is an olive-grey and white bird with two distinctive dark breast bands and a pink-buff bill. It is often seen walking on forest floors, swaying its tail sideways as it searches for insects.",,
Fox,Vulpes vulpes,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,"Forests, grasslands, mountains, deserts, urban areas","Omnivore — rodents, rabbits, birds, fruits, insects",3–4 years,10–12 years,2.2–14 kg,Least Concern,Stable,Widest range of any carnivore — worldwide,"Red foxes are highly adaptable and have colonised every continent except Antarctica. Urban foxes in cities have larger brains than their rural counterparts, an adaptation to navigating complex environments.","Hunting, trapping, road traffic","The red fox is the largest true fox with a distinctive rusty-red coat, white underparts, and a bushy white-tipped tail. It is highly intelligent, omnivorous, and exceptionally adaptable to diverse environments.",,
Frog,Rana temporaria,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,"Ponds, lakes, rivers, damp forests, meadows","Carnivore — insects, worms, slugs, small fish",5–10 years,Up to 15 years,0.02–0.08 kg,Least Concern,Stable,"Europe, parts of Asia","Frogs absorb water through their skin rather than drinking it. Their skin is so permeable that toxic chemicals in their environment can quickly affect them, making frogs important environmental indicators.","Habitat loss, pollution, climate change, disease (chytridiomycosis)","The common frog is a widespread European amphibian with moist, smooth skin that ranges in colour from brown and grey to yellow-green. It hibernates underwater in winter and congregates at ponds to breed in early spring.",,
Garden Tiger Moth,Arctia caja,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Arctia,"Gardens, hedgerows, moorland, woodland edges",Herbivore (larvae) — wide range of plants; Adults — minimal,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Decreasing,"Europe, Asia, North America","The garden tiger moth has declined by 89% in the UK since 1968 — one of the most dramatic declines of any British moth. Climate change (milder, wetter winters) is thought to be the primary driver, as its hairy caterpillars are vulnerable to wet conditions.","Climate change, habitat loss, light pollution","The garden tiger moth is one of the most distinctive British moths — creamy-white forewings boldly patterned with dark brown patches, and brilliant orange-red hindwings with large blue-centred black spots. The colours warn of foul taste.",,
Giant Leopard Moth,Hypercompe scribonia,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypercompe,"Gardens, roadsides, forest edges across eastern North America","Herbivore (larvae) — dandelion, plantain, sunflower; Adults — minimal",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Eastern North America,"The giant leopard moth caterpillar (woolly bear) curls into a ball when threatened, exposing its brilliant red abdomen between its black body rings — warning predators that it is toxic. Adults are entirely white with hollow black spots, producing a different warning signal.","Habitat loss, pesticide use","The giant leopard moth is a large, striking white moth with bold, hollow black spots and rings on its wings, and an iridescent blue-black body with red and orange markings. Its wings span up to 9 cm.",,
Giraffe,Giraffa camelopardalis,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,"Savannas, woodlands, grasslands","Herbivore — leaves (especially acacia), flowers, fruits",20–25 years,Up to 35 years,"750–1,270 kg",Vulnerable,Decreasing,Sub-Saharan Africa,"A giraffe's neck is approximately 1.8 metres long but contains only seven vertebrae — the same number as humans. Its tongue is around 45 cm long and is bluish-purple, possibly to prevent sunburn.","Habitat loss, poaching, civil unrest","The giraffe is the world's tallest living terrestrial animal. Its distinctive feature is its exceptionally long neck and legs. It has an irregular, patchwork coat pattern that is unique to each individual.",,
